sex,drug,source,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
male,Etanercept,GO_BP,GO:0061723,glycophagy,1/11,12/12671,0.010372373754436226,0.12775731788825567,0.08879385261856744,GABARAPL1,1
male,Etanercept,GO_BP,GO:0071233,cellular response to L-leucine,1/11,12/12671,0.010372373754436226,0.12775731788825567,0.08879385261856744,SESN2,1
male,Etanercept,GO_BP,GO:1900119,positive regulation of execution phase of apoptosis,1/11,12/12671,0.010372373754436226,0.12775731788825567,0.08879385261856744,TP53BP2,1
male,Etanercept,GO_BP,GO:1901163,regulation of trophoblast cell migration,1/11,12/12671,0.010372373754436226,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:1990253,cellular response to leucine starvation,1/11,12/12671,0.010372373754436226,0.12775731788825567,0.08879385261856744,SESN2,1
male,Etanercept,GO_BP,GO:0003177,pulmonary valve development,1/11,13/12671,0.011232307705672517,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0006525,arginine metabolic process,1/11,13/12671,0.011232307705672517,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0061450,trophoblast cell migration,1/11,13/12671,0.011232307705672517,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0042594,response to starvation,2/11,194/12671,0.011712186373675213,0.12775731788825567,0.08879385261856744,SESN2/GABARAPL1,2
male,Etanercept,GO_BP,GO:0016054,organic acid catabolic process,2/11,195/12671,0.011827953453688337,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0046395,carboxylic acid catabolic process,2/11,195/12671,0.011827953453688337,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0002026,regulation of the force of heart contraction,1/11,14/12671,0.012091562296859149,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0010544,negative regulation of platelet activation,1/11,14/12671,0.012091562296859149,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0043201,response to L-leucine,1/11,14/12671,0.012091562296859149,0.12775731788825567,0.08879385261856744,SESN2,1
male,Etanercept,GO_BP,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,2/11,199/12671,0.012296141653315247,0.12775731788825567,0.08879385261856744,SESN2/C1QBP,2
male,Etanercept,GO_BP,GO:0019430,removal of superoxide radicals,1/11,15/12671,0.012950138011067258,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0030449,regulation of complement activation,1/11,15/12671,0.012950138011067258,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0030808,regulation of nucleotide biosynthetic process,1/11,15/12671,0.012950138011067258,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:1900371,regulation of purine nucleotide biosynthetic process,1/11,15/12671,0.012950138011067258,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0034599,cellular response to oxidative stress,2/11,210/12671,0.013625544597006697,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0009065,glutamine family amino acid catabolic process,1/11,16/12671,0.013808035331064006,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0051349,positive regulation of lyase activity,1/11,16/12671,0.013808035331064006,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0070131,positive regulation of mitochondrial translation,1/11,16/12671,0.013808035331064006,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0031669,cellular response to nutrient levels,2/11,215/12671,0.014249913533462954,0.12775731788825567,0.08879385261856744,SESN2/GABARAPL1,2
male,Etanercept,GO_BP,GO:0031281,positive regulation of cyclase activity,1/11,17/12671,0.01466525473931024,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0043267,negative regulation of potassium ion transport,1/11,17/12671,0.01466525473931024,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0050687,negative regulation of defense response to virus,1/11,17/12671,0.01466525473931024,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0071450,cellular response to oxygen radical,1/11,17/12671,0.01466525473931024,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0071451,cellular response to superoxide,1/11,17/12671,0.01466525473931024,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0032695,negative regulation of interleukin-12 production,1/11,18/12671,0.015521796717962943,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0070168,negative regulation of biomineral tissue development,1/11,18/12671,0.015521796717962943,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:1900117,regulation of execution phase of apoptosis,1/11,18/12671,0.015521796717962943,0.12775731788825567,0.08879385261856744,TP53BP2,1
male,Etanercept,GO_BP,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,2/11,231/12671,0.01633087262009122,0.12775731788825567,0.08879385261856744,SESN2/C1QBP,2
male,Etanercept,GO_BP,GO:0002115,store-operated calcium entry,1/11,19/12671,0.016377661748872563,0.12775731788825567,0.08879385261856744,STIMATE,1
male,Etanercept,GO_BP,GO:0039535,regulation of RIG-I signaling pathway,1/11,19/12671,0.016377661748872563,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0000303,response to superoxide,1/11,20/12671,0.01723285031358679,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0001990,regulation of systemic arterial blood pressure by hormone,1/11,20/12671,0.01723285031358679,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0003180,aortic valve morphogenesis,1/11,20/12671,0.01723285031358679,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0003203,endocardial cushion morphogenesis,1/11,20/12671,0.01723285031358679,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0048025,"negative regulation of mRNA splicing, via spliceosome",1/11,20/12671,0.01723285031358679,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0000305,response to oxygen radical,1/11,21/12671,0.018087362893347003,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0043555,regulation of translation in response to stress,1/11,21/12671,0.018087362893347003,0.12775731788825567,0.08879385261856744,SESN2,1
male,Etanercept,GO_BP,GO:0050686,negative regulation of mRNA processing,1/11,21/12671,0.018087362893347003,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0062012,regulation of small molecule metabolic process,2/11,249/12671,0.018819977767624875,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0002407,dendritic cell chemotaxis,1/11,22/12671,0.01894119996909205,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0005980,glycogen catabolic process,1/11,22/12671,0.01894119996909205,0.12775731788825567,0.08879385261856744,GABARAPL1,1
male,Etanercept,GO_BP,GO:0032042,mitochondrial DNA metabolic process,1/11,22/12671,0.01894119996909205,0.12775731788825567,0.08879385261856744,SESN2,1
male,Etanercept,GO_BP,GO:0055090,acylglycerol homeostasis,1/11,22/12671,0.01894119996909205,0.12775731788825567,0.08879385261856744,SESN2,1
male,Etanercept,GO_BP,GO:0070328,triglyceride homeostasis,1/11,22/12671,0.01894119996909205,0.12775731788825567,0.08879385261856744,SESN2,1
male,Etanercept,GO_BP,GO:0071624,positive regulation of granulocyte chemotaxis,1/11,22/12671,0.01894119996909205,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0090023,positive regulation of neutrophil chemotaxis,1/11,22/12671,0.01894119996909205,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0010959,regulation of metal ion transport,2/11,250/12671,0.018962771092521487,0.12775731788825567,0.08879385261856744,NOS3/STIMATE,2
male,Etanercept,GO_BP,GO:0009251,glucan catabolic process,1/11,23/12671,0.019794362021455125,0.12775731788825567,0.08879385261856744,GABARAPL1,1
male,Etanercept,GO_BP,GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,1/11,23/12671,0.019794362021455125,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0000272,polysaccharide catabolic process,1/11,24/12671,0.020646849530766453,0.12775731788825567,0.08879385261856744,GABARAPL1,1
male,Etanercept,GO_BP,GO:0003044,regulation of systemic arterial blood pressure mediated by a chemical signal,1/11,24/12671,0.020646849530766453,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0003176,aortic valve development,1/11,24/12671,0.020646849530766453,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:1901021,positive regulation of calcium ion transmembrane transporter activity,1/11,24/12671,0.020646849530766453,0.12775731788825567,0.08879385261856744,STIMATE,1
male,Etanercept,GO_BP,GO:0003197,endocardial cushion development,1/11,25/12671,0.02149866297705072,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0033119,negative regulation of RNA splicing,1/11,25/12671,0.02149866297705072,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0045109,intermediate filament organization,1/11,25/12671,0.02149866297705072,0.12775731788825567,0.08879385261856744,BFSP1,1
male,Etanercept,GO_BP,GO:0070129,regulation of mitochondrial translation,1/11,25/12671,0.02149866297705072,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:1905314,semi-lunar valve development,1/11,25/12671,0.02149866297705072,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0062197,cellular response to chemical stress,2/11,268/12671,0.021612613013571765,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0031279,regulation of cyclase activity,1/11,26/12671,0.02234980284003152,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0039529,RIG-I signaling pathway,1/11,26/12671,0.02234980284003152,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0045776,negative regulation of blood pressure,1/11,26/12671,0.02234980284003152,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0051480,regulation of cytosolic calcium ion concentration,1/11,26/12671,0.02234980284003152,0.12775731788825567,0.08879385261856744,SV2B,1
male,Etanercept,GO_BP,GO:2000042,negative regulation of double-strand break repair via homologous recombination,1/11,26/12671,0.02234980284003152,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0051339,regulation of lyase activity,1/11,27/12671,0.02320026959912669,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0060412,ventricular septum morphogenesis,1/11,27/12671,0.02320026959912669,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0070306,lens fiber cell differentiation,1/11,28/12671,0.024050063733451976,0.12775731788825567,0.08879385261856744,BFSP1,1
male,Etanercept,GO_BP,GO:0072132,mesenchyme morphogenesis,1/11,28/12671,0.024050063733451976,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:2001259,positive regulation of cation channel activity,1/11,28/12671,0.024050063733451976,0.12775731788825567,0.08879385261856744,STIMATE,1
male,Etanercept,GO_BP,GO:0043269,regulation of monoatomic ion transport,2/11,287/12671,0.024569855661464118,0.12775731788825567,0.08879385261856744,NOS3/STIMATE,2
male,Etanercept,GO_BP,GO:0022602,ovulation cycle process,1/11,29/12671,0.024899185721819372,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0034405,response to fluid shear stress,1/11,29/12671,0.024899185721819372,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0036336,dendritic cell migration,1/11,29/12671,0.024899185721819372,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0090022,regulation of neutrophil chemotaxis,1/11,29/12671,0.024899185721819372,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0006816,calcium ion transport,2/11,290/12671,0.02505149928291375,0.12775731788825567,0.08879385261856744,NOS3/STIMATE,2
male,Etanercept,GO_BP,GO:0044282,small molecule catabolic process,2/11,293/12671,0.025537099514277805,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0000002,mitochondrial genome maintenance,1/11,30/12671,0.025747636042738664,0.12775731788825567,0.08879385261856744,SESN2,1
male,Etanercept,GO_BP,GO:0001974,blood vessel remodeling,1/11,30/12671,0.025747636042738664,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0002920,regulation of humoral immune response,1/11,30/12671,0.025747636042738664,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0006958,"complement activation, classical pathway",1/11,30/12671,0.025747636042738664,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0045981,positive regulation of nucleotide metabolic process,1/11,30/12671,0.025747636042738664,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:1900544,positive regulation of purine nucleotide metabolic process,1/11,30/12671,0.025747636042738664,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:1902624,positive regulation of neutrophil migration,1/11,30/12671,0.025747636042738664,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:2000300,regulation of synaptic vesicle exocytosis,1/11,30/12671,0.025747636042738664,0.12775731788825567,0.08879385261856744,SV2B,1
male,Etanercept,GO_BP,GO:0042311,vasodilation,1/11,32/12671,0.027442523594754298,0.1315941882864863,0.09146055312769227,NOS3,1
male,Etanercept,GO_BP,GO:0048873,homeostasis of number of cells within a tissue,1/11,32/12671,0.027442523594754298,0.1315941882864863,0.09146055312769227,NOS3,1
male,Etanercept,GO_BP,GO:1902882,regulation of response to oxidative stress,1/11,32/12671,0.027442523594754298,0.1315941882864863,0.09146055312769227,SESN2,1
male,Etanercept,GO_BP,GO:0032102,negative regulation of response to external stimulus,2/11,307/12671,0.02785496921926906,0.1315941882864863,0.09146055312769227,NOS3/C1QBP,2
male,Etanercept,GO_BP,GO:0030195,negative regulation of blood coagulation,1/11,33/12671,0.02828896178135598,0.1315941882864863,0.09146055312769227,NOS3,1
male,Etanercept,GO_BP,GO:0062125,regulation of mitochondrial gene expression,1/11,33/12671,0.02828896178135598,0.1315941882864863,0.09146055312769227,C1QBP,1
male,Etanercept,GO_BP,GO:1900047,negative regulation of hemostasis,1/11,33/12671,0.02828896178135598,0.1315941882864863,0.09146055312769227,NOS3,1
male,Etanercept,GO_BP,GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,1/11,34/12671,0.02913473021152002,0.13349992391220372,0.09278507692857477,C1QBP,1
male,Etanercept,GO_BP,GO:0045747,positive regulation of Notch signaling pathway,1/11,35/12671,0.029979829362241528,0.13349992391220372,0.09278507692857477,NOS3,1
male,Etanercept,GO_BP,GO:0048662,negative regulation of smooth muscle cell proliferation,1/11,35/12671,0.029979829362241528,0.13349992391220372,0.09278507692857477,NOS3,1
male,Etanercept,GO_BP,GO:0050819,negative regulation of coagulation,1/11,35/12671,0.029979829362241528,0.13349992391220372,0.09278507692857477,NOS3,1
male,Etanercept,GO_BP,GO:2000780,negative regulation of double-strand break repair,1/11,35/12671,0.029979829362241528,0.13349992391220372,0.09278507692857477,C1QBP,1
male,Etanercept,GO_BP,GO:0003179,heart valve morphogenesis,1/11,36/12671,0.03082425971021674,0.1360969432968044,0.09459005655945191,NOS3,1
male,Etanercept,GO_BP,GO:0032689,negative regulation of type II interferon production,1/11,37/12671,0.03166802173183836,0.13635569687841143,0.09476989539584513,C1QBP,1
male,Etanercept,GO_BP,GO:0045738,negative regulation of DNA repair,1/11,37/12671,0.03166802173183836,0.13635569687841143,0.09476989539584513,C1QBP,1
male,Etanercept,GO_BP,GO:1902041,regulation of extrinsic apoptotic signaling pathway via death domain receptors,1/11,37/12671,0.03166802173183836,0.13635569687841143,0.09476989539584513,NOS3,1
male,Etanercept,GO_BP,GO:0045454,cell redox homeostasis,1/11,38/12671,0.032511115903196885,0.1388384539800457,0.0964954604892125,NOS3,1
male,Etanercept,GO_BP,GO:0006979,response to oxidative stress,2/11,337/12671,0.03310130513857105,0.14020959331053265,0.09744842933391905,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0006417,regulation of translation,2/11,339/12671,0.03346426127802539,0.1402815169570907,0.09749841768509793,SESN2/C1QBP,2
male,Etanercept,GO_BP,GO:0007566,embryo implantation,1/11,40/12671,0.034195302597985644,0.1402815169570907,0.09749841768509793,C1QBP,1
male,Etanercept,GO_BP,GO:0051926,negative regulation of calcium ion transport,1/11,40/12671,0.034195302597985644,0.1402815169570907,0.09749841768509793,NOS3,1
male,Etanercept,GO_BP,GO:1902622,regulation of neutrophil migration,1/11,40/12671,0.034195302597985644,0.1402815169570907,0.09749841768509793,C1QBP,1
male,Etanercept,GO_BP,GO:0071622,regulation of granulocyte chemotaxis,1/11,41/12671,0.035036396072090525,0.14076626392928374,0.09783532637978304,C1QBP,1
male,Etanercept,GO_BP,GO:0016236,macroautophagy,2/11,350/12671,0.03548929473985985,0.14076626392928374,0.09783532637978304,SESN2/GABARAPL1,2
male,Etanercept,GO_BP,GO:0006956,complement activation,1/11,42/12671,0.03587682359728528,0.14076626392928374,0.09783532637978304,C1QBP,1
male,Etanercept,GO_BP,GO:1901019,regulation of calcium ion transmembrane transporter activity,1/11,42/12671,0.03587682359728528,0.14076626392928374,0.09783532637978304,STIMATE,1
male,Etanercept,GO_BP,GO:2000243,positive regulation of reproductive process,1/11,42/12671,0.03587682359728528,0.14076626392928374,0.09783532637978304,C1QBP,1
male,Etanercept,GO_BP,GO:0045103,intermediate filament-based process,1/11,43/12671,0.03671658564815472,0.14076626392928374,0.09783532637978304,BFSP1,1
male,Etanercept,GO_BP,GO:0045104,intermediate filament cytoskeleton organization,1/11,43/12671,0.03671658564815472,0.14076626392928374,0.09783532637978304,BFSP1,1
male,Etanercept,GO_BP,GO:0060411,cardiac septum morphogenesis,1/11,43/12671,0.03671658564815472,0.14076626392928374,0.09783532637978304,NOS3,1
male,Etanercept,GO_BP,GO:0002455,humoral immune response mediated by circulating immunoglobulin,1/11,44/12671,0.03755568269898357,0.14076626392928374,0.09783532637978304,C1QBP,1
male,Etanercept,GO_BP,GO:0006111,regulation of gluconeogenesis,1/11,44/12671,0.03755568269898357,0.14076626392928374,0.09783532637978304,SESN2,1
male,Etanercept,GO_BP,GO:0010543,regulation of platelet activation,1/11,44/12671,0.03755568269898357,0.14076626392928374,0.09783532637978304,NOS3,1
male,Etanercept,GO_BP,GO:0042698,ovulation cycle,1/11,44/12671,0.03755568269898357,0.14076626392928374,0.09783532637978304,NOS3,1
male,Etanercept,GO_BP,GO:0003170,heart valve development,1/11,45/12671,0.03839411522375724,0.1408685495181516,0.09790641687896585,NOS3,1
male,Etanercept,GO_BP,GO:0043536,positive regulation of blood vessel endothelial cell migration,1/11,45/12671,0.03839411522375724,0.1408685495181516,0.09790641687896585,NOS3,1
male,Etanercept,GO_BP,GO:0045910,negative regulation of DNA recombination,1/11,45/12671,0.03839411522375724,0.1408685495181516,0.09790641687896585,C1QBP,1
male,Etanercept,GO_BP,GO:0003281,ventricular septum development,1/11,47/12671,0.04006898858957175,0.14298591133675947,0.09937802505272303,NOS3,1
male,Etanercept,GO_BP,GO:0042149,cellular response to glucose starvation,1/11,47/12671,0.04006898858957175,0.14298591133675947,0.09937802505272303,SESN2,1
male,Etanercept,GO_BP,GO:0070050,neuron cellular homeostasis,1/11,47/12671,0.04006898858957175,0.14298591133675947,0.09937802505272303,SV2B,1
male,Etanercept,GO_BP,GO:1904262,negative regulation of TORC1 signaling,1/11,47/12671,0.04006898858957175,0.14298591133675947,0.09937802505272303,SESN2,1
male,Etanercept,GO_BP,GO:0031667,response to nutrient levels,2/11,377/12671,0.04066156489250443,0.14307348793352426,0.09943889251264239,SESN2/GABARAPL1,2
male,Etanercept,GO_BP,GO:0061045,negative regulation of wound healing,1/11,48/12671,0.0409054303770805,0.14307348793352426,0.09943889251264239,NOS3,1
male,Etanercept,GO_BP,GO:0002028,regulation of sodium ion transport,1/11,49/12671,0.04174120953146965,0.14307348793352426,0.09943889251264239,NOS3,1
male,Etanercept,GO_BP,GO:0030193,regulation of blood coagulation,1/11,49/12671,0.04174120953146965,0.14307348793352426,0.09943889251264239,NOS3,1
male,Etanercept,GO_BP,GO:0170040,proteinogenic amino acid catabolic process,1/11,49/12671,0.04174120953146965,0.14307348793352426,0.09943889251264239,NOS3,1
male,Etanercept,GO_BP,GO:1900024,regulation of substrate adhesion-dependent cell spreading,1/11,49/12671,0.04174120953146965,0.14307348793352426,0.09943889251264239,C1QBP,1
male,Etanercept,GO_BP,GO:0039532,negative regulation of cytoplasmic pattern recognition receptor signaling pathway,1/11,50/12671,0.04257632652522336,0.1432041861343544,0.0995297303368379,C1QBP,1
male,Etanercept,GO_BP,GO:1900046,regulation of hemostasis,1/11,50/12671,0.04257632652522336,0.1432041861343544,0.0995297303368379,NOS3,1
male,Etanercept,GO_BP,GO:0006801,superoxide metabolic process,1/11,51/12671,0.0434107818305256,0.1432041861343544,0.0995297303368379,NOS3,1
male,Etanercept,GO_BP,GO:0031663,lipopolysaccharide-mediated signaling pathway,1/11,52/12671,0.04424457591926301,0.1432041861343544,0.0995297303368379,NOS3,1
male,Etanercept,GO_BP,GO:1904263,positive regulation of TORC1 signaling,1/11,52/12671,0.04424457591926301,0.1432041861343544,0.0995297303368379,SESN2,1
male,Etanercept,GO_BP,GO:0032414,positive regulation of ion transmembrane transporter activity,1/11,53/12671,0.04507770926302135,0.1432041861343544,0.0995297303368379,STIMATE,1
male,Etanercept,GO_BP,GO:0034198,cellular response to amino acid starvation,1/11,53/12671,0.04507770926302135,0.1432041861343544,0.0995297303368379,SESN2,1
male,Etanercept,GO_BP,GO:0042255,ribosome assembly,1/11,53/12671,0.04507770926302135,0.1432041861343544,0.0995297303368379,C1QBP,1
male,Etanercept,GO_BP,GO:0043266,regulation of potassium ion transport,1/11,53/12671,0.04507770926302135,0.1432041861343544,0.0995297303368379,NOS3,1
male,Etanercept,GO_BP,GO:0050818,regulation of coagulation,1/11,53/12671,0.04507770926302135,0.1432041861343544,0.0995297303368379,NOS3,1
male,Etanercept,GO_BP,GO:0050886,endocrine process,1/11,53/12671,0.04507770926302135,0.1432041861343544,0.0995297303368379,NOS3,1
male,Etanercept,GO_BP,GO:0170035,L-amino acid catabolic process,1/11,53/12671,0.04507770926302135,0.1432041861343544,0.0995297303368379,NOS3,1
male,Etanercept,GO_BP,GO:0002088,lens development in camera-type eye,1/11,54/12671,0.04591018233308819,0.1449188912598563,0.10072148417696854,BFSP1,1
male,Etanercept,GO_BP,GO:0009064,glutamine family amino acid metabolic process,1/11,55/12671,0.04674199560045311,0.1449188912598563,0.10072148417696854,NOS3,1
male,Etanercept,GO_BP,GO:0046928,regulation of neurotransmitter secretion,1/11,55/12671,0.04674199560045311,0.1449188912598563,0.10072148417696854,SV2B,1
male,Etanercept,GO_BP,GO:0003073,regulation of systemic arterial blood pressure,1/11,56/12671,0.04757314953580394,0.1449188912598563,0.10072148417696854,NOS3,1
male,Etanercept,GO_BP,GO:0046323,D-glucose import,1/11,56/12671,0.04757314953580394,0.1449188912598563,0.10072148417696854,SESN2,1
male,Etanercept,GO_BP,GO:1990928,response to amino acid starvation,1/11,56/12671,0.04757314953580394,0.1449188912598563,0.10072148417696854,SESN2,1
male,Etanercept,GO_BP,GO:1904427,positive regulation of calcium ion transmembrane transport,1/11,57/12671,0.04840364460953439,0.1449188912598563,0.10072148417696854,STIMATE,1
male,Etanercept,GO_BP,GO:2001257,regulation of cation channel activity,1/11,57/12671,0.04840364460953439,0.1449188912598563,0.10072148417696854,STIMATE,1
male,Etanercept,GO_BP,GO:0030335,positive regulation of cell migration,2/11,415/12671,0.04840554940671465,0.1449188912598563,0.10072148417696854,NOS3/C1QBP,2
male,Etanercept,GO_BP,GO:0007005,mitochondrion organization,2/11,417/12671,0.04882757969085944,0.1449188912598563,0.10072148417696854,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0032615,interleukin-12 production,1/11,58/12671,0.049233481291736214,0.1449188912598563,0.10072148417696854,C1QBP,1
male,Etanercept,GO_BP,GO:0032655,regulation of interleukin-12 production,1/11,58/12671,0.049233481291736214,0.1449188912598563,0.10072148417696854,C1QBP,1
