dataset_id,dataset_name,omics_type,source,file_path,format,platform,description,preloaded,normalized,annotation_required
meth_mr_tables,Methylation MR tables,methylomics,GoDMC cis-mQTL -> Ishigaki 2022 RA GWAS,preloaded/methylomics/tables/script08_mendelian_randomization/tables/,csv,NA,Preloaded MR estimates/harmonised data/Steiger/instrument counts/coloc results for the MR and Coloc tabs.,TRUE,FALSE,FALSE
meth_diagnostic_reference,Diagnostic classifier reference AUC tables,methylomics,script09 diagnostic classifier pipeline,preloaded/methylomics/tables/script09_diagnostic_classifier/tables/,csv,Illumina 450K,Published panel/per-probe AUC tables for optional comparison display (not the live compute path).,TRUE,FALSE,FALSE
meth_beta_matrix_live,Live preloaded beta matrix,methylomics,GSE42861 QC'd beta matrix,preloaded/methylomics/matrix/beta_raw.rds;pheno.rds,rds,Illumina 450K,The ~2.1GB QC'd beta matrix + phenotype table backing the Dataset tab's 'Load preloaded dataset' live-recompute path.,TRUE,TRUE,FALSE
meth_diagnostic_panels,Diagnostic classifier train/test panels,methylomics,GSE42861 (internal) + GSE111942 (external),preloaded/methylomics/matrix/gse42861_internal_panel_celltype_adjusted.rds;gse111942_external_panel.rds,rds,Illumina 450K,Panel-CpG-only (21 CpGs) train/internal-test + external-test objects the Diagnostic Classifier fits/evaluates on live.,TRUE,TRUE,FALSE
meth_methodology_docs,Methylomics methodology write-ups,documentation,Project methylomics pipeline,preloaded/methylomics/tables/script0N_*/METHODS_*.md,md,NA,Per-stage methodology docs surfaced by the ArthOChat assistant's project_methods_methylomics() tool.,TRUE,NA,FALSE
cx_convergence_tables,Cross-omics convergence/MR tables,cross_omics,eQTL-MR x mQTL-MR x DEG x DMP/DMR join,preloaded/cross_omics/tables/,csv,NA,8 precomputed tables (master convergence/ Tier-1/ per-sex eQTL-mQTL/ cross-omics MR) backing the Cross-Omics Dataset/Biomarker Convergence/MR tabs.,TRUE,FALSE,FALSE
multi_main_tables,Multi-omics main result tables,multiomics,DIABLO/SNF/RF pipeline (Tao et al. 2021 anti-TNF cohort),preloaded/multiomics/tables/,csv,NA,Patient matching + QC summaries + DIABLO/SNF/RF performance tables for the Dataset/Overview/Integration tabs.,TRUE,FALSE,FALSE
multi_summary_tables,Multi-omics cross-analysis summary tables,multiomics,Cross-analysis summary stage,preloaded/multiomics/tables/summary/,csv,NA,"Master six-part summary, candidate biomarkers, gene<->CpG concordance, and pathway enrichment tables.",TRUE,FALSE,FALSE
multi_ada_snf_clusters,SNF patient clusters — Adalimumab,multiomics,SNF clustering (Adalimumab arm),preloaded/multiomics/tables/adalimumab/,csv,NA,Patient cluster assignments/response association/concordance-NMI for the Stratification tab (Adalimumab).,TRUE,FALSE,FALSE
multi_etn_snf_clusters,SNF patient clusters — Etanercept,multiomics,SNF clustering (Etanercept arm),preloaded/multiomics/tables/etanercept/,csv,NA,Patient cluster assignments/response association/concordance-NMI for the Stratification tab (Etanercept).,TRUE,FALSE,FALSE
multi_diablo_fits,DIABLO fit objects,multiomics,mixOmics::block.splsda,preloaded/multiomics/fits/,rds,NA,"6 saved DIABLO fit objects (per drug x sex, plus response) read for real per-component/per-block variance-explained figures.",TRUE,TRUE,FALSE
ref_cytoband,UCSC cytoband ideogram (hg19),reference,UCSC hgdownload.soe.ucsc.edu,reference/cytoBandIdeo_hg19.txt.gz,txt.gz,NA,Chromosome ideogram track used by the Methylomics Biomarker Card's region plots.,TRUE,NA,TRUE
ref_illumina_manifest,Illumina 450K/EPIC manifest,reference,Bioconductor (IlluminaHumanMethylation450kanno.ilmn12.hg19 / EPICanno.ilm10b4.hg19),(R package - not a bundled file),package,Illumina 450K/EPIC,"CpG position/gene/region annotation; installed as an R package dependency, not copied into data/.",FALSE,NA,TRUE
ref_epidish_panels,EpiDISH cell-type reference panels,reference,Bioconductor (EpiDISH package),(R package - not a bundled file),package,Illumina 450K/EPIC,Blood/fibroblast cell-type deconvolution reference matrices; installed as an R package dependency.,FALSE,NA,TRUE
examples_tx_upload_merged,Transcriptomics upload test fixture (merged),examples,"Chen et al. 2021 replication (GSE12021, GSE55235, GSE55457)",examples/transcriptomics_upload/merged/chen2021_merged_expression_matrix.csv;chen2021_merged_sample_metadata.csv,csv,Microarray (merged),"Ready-to-upload merged expression matrix + sample metadata, shaped for the Transcriptomics Dataset/Preprocessing upload widgets. Manual/automated test fixture for the upload pipeline, not read by any app code path directly - authored from replicate_chen2021/ (kept outside data/, not deleted).",FALSE,TRUE,FALSE
examples_tx_upload_probelevel,Transcriptomics upload test fixture (probe-level),examples,"Chen et al. 2021 replication (GSE12021, GSE55235, GSE55457) - GPL96 platform",examples/transcriptomics_upload/probelevel/,csv,Microarray (probe-level + GPL96 annotation),"Ready-to-upload per-source probe-level expression matrices + sample metadata + probe-to-gene annotation, for testing the upload pipeline's probe-to-gene collapsing step. Same provenance as examples_tx_upload_merged.",FALSE,FALSE,TRUE
examples_meth_upload,Methylomics upload test fixture,examples,"Liu et al. 2015 replication (GSE71841 - CD4+ T cell 450K methylation, 12 RA / 12 matched healthy controls)",examples/methylomics_upload/,csv,Illumina 450K,"Ready-to-upload beta-value matrix (485,577 probes incl. SNP control probes x 24 samples) + sample metadata (group/sex/age), shaped for the Methylomics Dataset tab's 'Upload: beta or M-value matrix' upload widget. Manual/automated test fixture for the upload pipeline, not read by any app code path directly - independent of the GSE42861/GSE111942 datasets already bundled as preloaded.",FALSE,TRUE,FALSE
examples_placeholder,Reserved example-dataset folder (root),other,N/A,examples/,NA,NA,"Root of data/examples/; holds transcriptomics_upload/ and methylomics_upload/ above. No other example dataset ships - the app's other related feature (Preprocessing's 'merge example training datasets' demo, RAW_DIR-backed) has been unreachable since before this migration due to a pre-existing broken symlink to a different machine - preserved as-is, not fixed.",FALSE,NA,FALSE
uploads_placeholder,Reserved upload folder,other,N/A,uploads/,NA,NA,"Reserved per the requested data/ layout; NOT written to at runtime. User uploads use Shiny's own per-session tempfile mechanism (input$file$datapath), which is already correctly session-isolated.",FALSE,NA,FALSE
